,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
101,195.155039,88.172604,39.837086,2.0,512.0,256.0,64.0,4.0,2.0,8.0,3.2,0.000169,25.024,0.482233557,2.853453
102,195.155039,98.493689,49.70923,2.0,8.0,32.0,64.0,8.0,2.0,8.0,3.5,0.000129,33.342,0.5732619390000001,4.443891000000001
103,16.014559,4.151766,1.076343,1.0,128.0,4096.0,32768.0,2.0,2.0,8.0,3.9,0.000129,27.619,0.459413376,3.561344
104,116.013825,54.403135,25.511625,2.0,4.0,32.0,8192.0,4.0,2.0,8.0,3.2,0.000171,303.2,3.059412129,17.891299
105,195.155039,97.99589,49.208027,2.0,128.0,16.0,128.0,2.0,2.0,8.0,3.5,0.000217,79.654,1.5058183349999998,6.939255
106,147.222222,116.573556,92.305318,1.0,128.0,8.0,128.0,2.0,2.0,8.0,3.5,0.000129,25.491,0.4640926833,3.5976177000000003
107,187.873134,92.273885,45.320316,2.0,128.0,32.0,64.0,16.0,2.0,8.0,3.1,0.000171,14.429,0.3279596004,1.9178924
108,195.155039,91.73402,43.120232,2.0,4.0,256.0,1024.0,1.0,2.0,4.0,3.9,0.000134,34.814,0.523435088,3.906232
109,148.964497,116.034111,90.383381,1.0,128.0,32.0,128.0,2.0,2.0,8.0,2.6,0.000129,35.17,0.5296141569,4.1055361
110,195.155039,96.598981,47.815128,2.0,4.0,256.0,64.0,4.0,2.0,8.0,3.2,0.000169,14.558,0.3310160749999999,1.958675
111,147.222222,81.466342,45.079912,1.0,8.0,32.0,4096.0,2.0,2.0,8.0,3.0,0.000129,26.4,0.4776121283999999,3.7024196
112,148.964497,115.485689,89.531026,1.0,128.0,32.0,128.0,2.0,2.0,8.0,2.2,0.000171,52.777,0.6715278243,3.9270633
113,195.155039,100.07546,51.318674,2.0,4.0,32.0,64.0,4.0,1.0,8.0,2.6,0.000169,14.558,0.334167418,1.977322
114,195.155039,97.935457,49.147354,2.0,128.0,32.0,64.0,4.0,1.0,8.0,3.0,0.000129,23.763,0.4450053659999999,3.449654
115,147.222222,111.48692,84.42566,1.0,128.0,32.0,512.0,2.0,2.0,8.0,3.9,0.000129,25.179,0.464665611,3.602059
116,195.155039,90.177049,41.668923,2.0,4.0,32.0,2048.0,4.0,2.0,4.0,3.2,0.000171,17.645,0.3585688911,2.0968941
117,195.155039,100.318651,51.568393,2.0,8.0,4.0,128.0,2.0,2.0,8.0,3.6,0.000129,37.734,0.5480603699999999,4.24853
118,148.964497,116.462594,91.052137,1.0,128.0,4.0,128.0,2.0,2.0,8.0,2.6,0.000129,24.13,0.4428504338999999,3.4329491
119,195.155039,99.346511,50.573786,2.0,4.0,32.0,64.0,4.0,2.0,8.0,2.0,0.000169,14.41,0.3285848409999999,1.944289
120,147.222222,118.702999,95.708391,1.0,16.0,16.0,128.0,2.0,2.0,8.0,3.2,0.000129,23.92,0.4515597269999999,3.500463
121,148.964497,119.749765,96.26459,1.0,64.0,32.0,128.0,2.0,2.0,1.0,2.8,0.000171,13.878,0.3162984435,1.8496985
122,195.155039,96.883746,48.097452,2.0,128.0,32.0,256.0,4.0,2.0,2.0,2.1,0.000169,12.871,0.3107929096999999,1.8390113
123,195.155039,97.75666,48.968065,2.0,128.0,32.0,128.0,4.0,2.0,8.0,3.9,0.000129,25.785,0.474808623,3.680687
124,148.964497,98.123079,64.633781,1.0,128.0,32.0,2048.0,2.0,2.0,8.0,2.5,0.000129,26.027,0.4663669146,3.6152474
125,195.155039,89.819374,41.33903,2.0,4.0,32.0,2048.0,4.0,2.0,8.0,2.6,0.000169,27.654,0.4628903239999999,2.738996
126,147.222222,96.722556,63.545114,1.0,1024.0,32.0,512.0,2.0,2.0,8.0,3.9,0.000129,37.831,0.552433986,4.282434
127,147.222222,101.413655,69.858539,1.0,512.0,32.0,64.0,2.0,16.0,8.0,3.9,0.000171,25.024,0.476392491,2.785921
128,195.155039,62.067641,19.740162,2.0,4096.0,32.0,64.0,4.0,8.0,8.0,3.8,0.000171,19.798,0.433338795,2.534145
