,reward1,reward2,latency,Area,energy,power,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,best_reward
177,100.7,31.682681,0.00025,151.74,4.43993475,17.759739,9,256,64,1024,8,8,2,2.9,51.17727344444453
178,19.980159,27.071112,0.00126,37.617,6.0814656,4.82656,2,1024,64,64,1,8,8,2.1,51.17727344444453
179,20.46748,40.071471,0.00123,16.471,2.77555527,2.256549,1,512,32,64,2,1,2,2.6,51.17727344444453
180,78.918495,26.143628,0.000319,188.1,6.520617752,20.440808,11,16,64,256,8,16,2,3.6,51.17727344444453
181,20.46748,40.21284,0.00123,16.292,2.75607453,2.240711,1,128,32,128,2,8,8,2.0,51.17727344444453
182,20.46748,25.555613,0.00123,75.374,6.824138400000001,5.548080000000001,1,16,4,8192,1,8,1,2.6,51.17727344444453
183,100.7,25.377642,0.00025,331.5,6.92018825,27.680753,9,16,64,32768,2,1,2,2.9,51.17727344444453
184,77.223926,39.755811,0.000326,57.538,2.8198057860000003,8.649711,5,128,32,128,2,1,1,3.0,51.17727344444453
185,20.46748,35.976943,0.00123,21.16,3.4432767599999994,2.799412,1,512,128,128,1,16,8,2.6,51.17727344444453
186,100.7,33.349447,0.00025,125.19,4.00721975,16.028879,9,16,64,1024,8,2,2,2.4,51.17727344444453
187,35.861823,30.900459,0.000702,43.575,4.667567112,6.648956,4,16,32,128,1,1,1,3.6,51.17727344444453
188,20.46748,40.962089,0.00123,17.242,2.6561723310000005,2.1594897000000004,1,16,512,128,1,1,2,2.4,51.17727344444453
189,100.7,29.857879,0.00025,163.27,4.99922325,19.996893,9,256,512,2048,8,1,2,2.2,51.17727344444453
190,19.980159,30.177326,0.00126,31.345,4.893943320000001,3.884082,2,16,32,128,1,16,1,2.6,51.17727344444453
191,20.46748,44.541757,0.00123,13.218,2.246393034,1.8263358,1,64,32,128,2,1,2,2.6,51.17727344444453
192,100.7,33.560814,0.00025,112.84,3.9569035,15.827614,9,16,64,2048,2,2,2,3.0,51.17727344444453
193,20.46748,44.474105,0.00123,12.999,2.253232449,1.8318963,1,16,32,64,1,1,8,2.0,51.17727344444453
194,35.70922,30.743045,0.000705,43.944,4.71548838,6.688636,4,16,32,128,1,1,2,2.6,51.17727344444453
195,100.7,33.585316,0.00025,123.9,3.9511322499999992,15.804529,9,16,32,1024,8,2,2,2.9,56.10581255555553
196,19.980159,32.121257,0.00126,23.209,4.31951877,3.4281895,2,16,32,128,1,1,2,2.5,56.10581255555553
197,20.46748,45.097176,0.00123,12.587,2.191400472,1.7816264,1,16,8,128,4,1,1,2.6,56.10581255555553
198,100.7,33.471674,0.00025,124.53,3.97800725,15.912029,9,16,64,1024,8,1,2,3.3,56.10581255555553
199,20.46748,45.330589,0.00123,12.163,2.16889098,1.763326,1,16,32,64,1,1,1,2.5,56.10581255555553
200,20.46748,38.145081,0.00123,18.9,3.06297429,2.490223,1,128,32,128,1,16,8,2.6,56.10581255555553
201,89.27305,29.612403,0.000282,142.1,5.082450186,18.022873,10,16,64,2048,8,1,4,2.9,57.53131855555552
202,77.223926,40.52766,0.000326,54.3,2.713422206,8.323381,5,16,32,128,2,1,1,2.6,57.53131855555552
203,20.46748,43.894481,0.00123,13.117,2.313132957,1.8805959,1,128,32,128,1,2,1,2.7,57.5343373333333
204,100.7,33.532602,0.00025,113.9,3.9635645,15.854258,9,16,64,2048,4,2,2,2.9,57.5343373333333
205,20.46748,45.107324,0.00123,12.399,2.190414504,1.7808248,1,32,8,128,1,1,1,2.6,59.019198888888845
206,20.434253,45.017009,0.001232,12.705,2.1992124,1.785075,1,16,32,128,4,1,1,3.1,59.04702977777783
207,100.7,33.799699,0.00025,117.25,3.901169,15.604676,9,16,64,128,8,2,8,2.6,59.04702977777783
208,20.46748,42.171938,0.00123,14.542,2.5059552599999995,2.037362,1,256,128,128,1,1,1,2.6,59.354832333333334
