,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
482,58.47953216374268,1,64,16,64,2,4,2,3.0,0.000171,12.722,1.833894
483,58.47953216374268,1,32,16,64,4,4,4,3.0,0.000171,13.194,1.8394629999999998
484,59.1715976331361,1,32,16,128,2,4,4,2.9,0.000169,13.42,1.862444
485,59.1715976331361,1,128,8,64,2,4,4,2.9,0.000169,13.402,1.895539
486,58.47953216374268,1,64,16,64,2,4,2,3.1,0.000171,12.722,1.830572
487,67.11409395973155,3,32,16,1024,2,4,4,3.1,0.000149,43.36,5.513761000000001
488,58.47953216374268,1,32,8,64,2,4,2,3.1,0.000171,12.552,1.804509
489,52.63157894736842,4,32,8,64,2,4,4,3.0,0.00019,44.859,6.688294
490,67.11409395973155,3,32,8,1024,2,4,2,3.1,0.000149,43.309,5.511211
491,44.247787610619476,6,64,16,128,2,4,4,3.1,0.000226,67.542,10.073521000000001
492,59.1715976331361,1,32,8,2048,2,4,4,2.9,0.000169,27.084,2.665102
493,58.47953216374268,1,32,32,1024,4,4,4,3.0,0.000171,22.293,2.30161
494,58.47953216374268,1,64,32,2048,4,4,4,3.0,0.000171,27.521,2.704183
495,51.282051282051285,5,32,32,64,2,4,4,3.1,0.000195,56.125,8.376274
496,59.1715976331361,1,32,8,128,2,4,2,2.9,0.000169,13.087,1.8349140000000002
497,77.51937984496125,2,32,16,512,2,4,4,2.9,0.000129,26.939,3.6387090000000004
498,59.1715976331361,1,32,16,64,4,2,2,2.9,0.000169,12.631,1.7927696
499,51.282051282051285,5,32,32,512,2,4,4,2.9,0.000195,59.382,8.57134
500,59.1715976331361,1,32,16,64,2,4,4,2.9,0.000169,12.99,1.8338649999999999
501,32.78688524590164,8,64,16,64,2,2,4,3.2,0.000305,87.817,13.303759
502,58.47953216374268,1,64,64,64,2,4,2,3.0,0.000171,13.018,1.863358
503,59.1715976331361,1,32,16,64,4,4,2,2.9,0.000169,12.791,1.826328
504,51.282051282051285,5,32,8,256,2,4,2,3.0,0.000195,56.362,8.373935999999999
505,37.17472118959108,7,32,16,1024,2,4,4,3.0,0.000269,85.974,11.99036
